,Unnamed: 0,index,Unnamed: 0.1,post_text,total_eng,name,year,month,day,hour,minute_of_day,day_time_sin,day_time_cos,america,uk,canada,time_zone,day_1,day_2,day_3,day_4,day_5,day_6,day_7,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,fitted_followers,eng_rate,words_count,char_count,long_post,is_response,neg,pos,neu,time,likes,comments,shares,total_reactions,top_reactions,words_count_scaled,char_count_scaled,fitted_followers_scaled,score,predictions,abs_error,error
8926,8926,8926,48656,"

I want to see results.",3,Newfess,2019,4,1,17,4.6513024565648875,0.0009326007890665401,0.4694757302325712,0,1,0,London,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7504.499542210947,0.0003997601682997973,6,38,0,1,0.0,0.302,0.698,,,,,,,-0.7272727272727273,-0.6695652173913044,-0.6101582609357944,0,0.005887838910960605,0.005488078742660807,-0.005488078742660807
7282,7282,7282,34429,"Freshers, don’t waste your loan on lovedough tickets for Dappy he’s been before and it was shite",0,Linconfess,2019,6,2,15,3.9269908169872414,0.14644660940672627,0.14644660940672616,0,1,0,London,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10352.049834376514,0.0,17,96,0,0,0.149,0.0,0.851,,,,,,,-0.2272727272727273,-0.16521739130434782,-0.3199162438167183,0,0.003496499894521214,0.003496499894521214,-0.003496499894521214
11493,11493,11493,12503,The only way this exam period could have gone any worse is if i'd died mid-exam...but actually that would have been an improvement/small mercy.,32,Newfess,2020,1,2,22,5.9908426574705365,0.35590186593295503,0.9787856804024072,0,1,0,London,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9694.88503642801,0.003300709588588386,24,143,0,0,0.222,0.083,0.695,,,,,,,0.09090909090909093,0.2434782608695653,-0.3868990244408204,0,0.006694969671470118,0.0033942600828817315,-0.0033942600828817315
6597,6597,6597,57240,Unpopular opinion: dark fruits is fuckingn amazing,98,LeedsFess,2019,3,6,10,2.8143434188408563,0.6607197326515809,0.026534935252447208,0,1,0,London,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19158.68106819191,0.005115174664225918,7,50,0,0,0.0,0.388,0.612,,,,,,,-0.6818181818181818,-0.5652173913043478,0.5777165110318552,1,0.019939252902088433,0.014824078237862515,-0.014824078237862515
8461,8461,8461,36725,"Uncultured fools, the best soundtracks to listen to when revising are by hans Zimmer",37,Newfess,2019,6,2,1,0.4014257279586957,0.6953655642446368,0.9602524267262202,0,1,0,London,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7854.380493326083,0.004710747083291818,14,84,0,0,0.165,0.21600000000000005,0.619,,,,,,,-0.3636363636363637,-0.26956521739130435,-0.5744959749060825,0,0.0035715575048249353,0.001139189578466883,0.001139189578466883
6942,6942,6942,42886,JB we live really close and we was talking for a bit before Christmas but it ended. Wanna give it another shot I think you’re amazing and your Kent accent is beautiful.,1,LeedsFess,2019,5,6,17,4.677482395344803,0.00030458649045217445,0.4825502516487492,0,1,0,London,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,20290.897674512544,4.928318185035761e-05,32,168,1,0,0.0,0.274,0.726,,,,,,,0.4545454545454545,0.4608695652173913,0.6931198570371341,0,0.012527289700518592,0.012478006518668233,-0.012478006518668233
7305,7305,7305,73071,Overheard at Lincoln used to be good until it started spamming that trashy amsterdam festival,16,Linconfess,2018,11,0,9,2.3561944901923453,0.8535533905932737,0.14644660940672627,0,1,0,London,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8471.288468953804,0.0018887327540123284,15,93,0,0,0.146,0.28800000000000003,0.5660000000000001,,,,,,,-0.3181818181818182,-0.19130434782608696,-0.5116164479963521,0,0.008278820719087525,0.006390087965075196,-0.006390087965075196
3932,3932,3932,12808,"As a foreign student, I couldn't be happier to have come to Leeds to get my degree. Moving countries is tough AF, you leave a lot behind, but coming here was one of the best things that's happened to me. I thought that I would have trouble adapting here and fitting in, but it's been the complete opposite. I feel like I can be myself here without being judged and I have an amazing group of friends that make me feel at home.

Thank you for being so amazing,

Love,
A v drunk international student xxx",1021,LeedsFess,2020,1,1,18,4.76474885794452,0.0006852326227130834,0.5261679781214721,0,1,0,London,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25576.16826166427,0.0399199750937814,96,507,1,0,0.095,0.279,0.625,,,,,,,3.3636363636363638,3.408695652173913,1.231831183911865,2,0.007444188042308819,0.03247578705147258,0.03247578705147258
1032,1032,1032,57950,"My housemate actually thinks that fox’s crunch creams are superior to custard creams. 

Angry react for crunch creams being great

Love for custard creams being the almighty biscuit",266,Bristruths,2019,3,3,9,2.3561944901923453,0.8535533905932737,0.14644660940672627,0,1,0,London,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15132.366020783491,0.017578216098834996,28,185,0,0,0.084,0.302,0.614,,,,,,,0.2727272727272727,0.6086956521739131,0.16732663868021286,2,0.008197359625369778,0.009380856473465218,0.009380856473465218
5866,5866,5866,48499,People with curly hair are the superior breed. All you straights don’t realise how much effort goes into looking this good,278,LeedsFess,2019,4,2,15,4.123340357836603,0.08426519384872766,0.22221488349019847,0,1,0,London,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19833.810541039093,0.01401646947392065,21,122,0,0,0.0,0.266,0.7340000000000001,,,,,,,-0.045454545454545456,0.060869565217391314,0.646530375550709,2,0.0050575049675235855,0.008958964506397063,0.008958964506397063
11117,11117,11117,35199,"I spent £27,000 in my first year of university. 

I don’t give a fuck what you think it’s not your money...???",58,Newfess,2019,6,5,12,3.1634092692397218,0.4890925574827195,0.00011898646004543378,0,1,0,London,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7926.290336679786,0.007317420575877543,21,112,0,0,0.192,0.0,0.8079999999999999,,,,,,,-0.045454545454545456,-0.02608695652173913,-0.5671664264014896,1,0.006087970607752173,0.0012294499681253703,0.0012294499681253703
12506,12506,13630,1860,Such a stigma for non drinkers here - I feel so pressured to drink. Like the other night I was racking up slugs of k in the Klute toilets and people were look at me like I’m some kind of ‘loser’ or ‘freak’.,59,,2018,5,4,13,3.65646478292812,0.2537882199482665,0.06482215203005015,0,1,0,London,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9835.817276028969,0.0059984847567054606,43,206,1,0,0.059,0.118,0.8240000000000001,1526648296.0,27.0,20.0,0.0,39.0,"Like,Haha,Wow",0.9545454545454546,0.7913043478260869,-0.3725342360079588,1,0.0018817165704275234,0.004116768186277937,0.004116768186277937
9301,9301,9301,22169,How do you find people to live with in second year? Everyone I've approached is already in with another group of friends so I'm scared I'm going to be on my own. I really can't afford a studio and also I'm worried that if I live on my own I'll just never go out or interact with other people so will miss out on a bunch of stuff or just have a really shit second year and lose what little social life I have already,0,Newfess,2019,11,3,14,3.913900847597284,0.15110477007916,0.14184902828767276,0,1,0,London,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9103.998688990905,0.0,85,415,1,0,0.154,0.034,0.812,,,,,,,2.8636363636363638,2.608695652173913,-0.4471262470609493,0,0.0044274826974333575,0.0044274826974333575,-0.0044274826974333575
5685,5685,5685,36302,Trying to find your taxi after beaver works is more stressful than trying to find a seat in the library during exams,0,LeedsFess,2019,6,3,22,5.825036378531076,0.2788556548904993,0.948436370766344,0,1,0,London,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20777.446137244253,0.0,22,116,0,0,0.152,0.0,0.848,,,,,,,0.0,0.008695652173913044,0.742712240932149,0,0.008569874562072012,0.008569874562072012,-0.008569874562072012
7027,7027,7027,57821,"This year has go so far down the shitter, am considering going travelling with the McCanns",178,Linconfess,2019,3,3,19,5.078908123303498,0.03320978675139896,0.6791839747726498,0,1,0,London,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9356.040829759182,0.01902514142882183,16,90,0,0,0.0,0.0,1.0,,,,,,,-0.2727272727272727,-0.21739130434782608,-0.4214363691554173,1,0.0021517000667905656,0.016873441362031266,0.016873441362031266
